Car_Name,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
90,5,27000,2,0,1,0
93,9,43000,1,0,1,0
68,9,6900,2,0,1,0
96,4,5200,2,0,1,0
92,6,42450,1,0,1,0
95,9,2071,1,0,1,0
68,8,18796,2,0,1,0
91,8,33429,1,0,1,0
68,8,20273,1,0,1,0
68,8,42367,1,0,1,0
62,3,2135,2,0,1,0
68,10,51000,1,0,1,0
68,9,15000,2,0,0,0
76,7,26000,2,0,1,0
73,7,77427,2,0,1,0
76,10,43000,1,0,1,0
76,10,41678,1,0,1,0
76,10,43000,1,0,1,0
96,5,35500,0,0,1,0
93,7,41442,2,0,1,0
63,3,25000,2,0,1,0
85,5,2400,2,0,1,0
93,8,50000,2,0,0,0
63,3,45280,2,0,1,0
96,4,56879,2,0,1,0
92,4,20000,2,0,1,0
92,5,55138,2,0,1,0
92,6,16200,2,1,1,0
63,3,44542,2,0,1,0
68,10,45000,1,0,1,0
90,5,51439,1,0,1,0
90,4,54200,2,0,1,0
92,7,39000,1,0,1,0
76,9,45000,1,0,1,0
73,8,45000,1,0,1,0
93,7,49998,0,0,1,0
73,7,48767,2,0,1,0
0,2,127000,2,1,1,0
63,3,10079,2,0,1,0
93,7,62000,2,0,1,0
65,7,24524,2,0,0,0
63,3,46706,2,0,1,0
93,7,58000,2,0,1,0
73,8,45780,1,0,1,0
89,2,50000,2,0,1,0
68,12,15000,2,0,0,0
90,4,64532,2,0,1,0
96,4,65000,2,0,1,0
76,7,25870,2,0,1,0
68,9,37000,2,0,0,0
81,30,104707,1,0,0,0
81,30,40000,1,0,0,0
86,19,15000,1,0,0,0
81,30,135000,1,1,0,0
86,10,90000,2,1,1,0
71,15,70000,2,0,0,0
77,7,40534,2,0,1,0
71,18,50000,2,0,1,0
78,6,39485,2,0,1,1
81,35,41000,1,0,0,0
71,18,40001,2,0,1,0
77,7,40588,2,0,1,0
81,35,78000,1,0,0,0
81,35,47000,1,0,0,0
81,36,6000,1,0,0,0
80,6,45000,1,0,1,0
86,23,11000,2,0,0,0
81,20,59000,1,0,1,0
71,13,88000,2,0,1,0
71,20,12000,2,0,1,0
80,6,71000,1,0,1,0
71,12,45000,1,0,1,0
71,18,56001,2,0,1,0
80,5,43000,2,0,1,0
77,8,83000,1,0,1,0
78,6,36000,2,0,1,0
71,14,72000,2,0,1,0
70,12,135154,2,0,0,0
71,22,80000,2,0,0,0
81,30,89000,1,0,0,0
71,14,23000,1,0,1,0
79,7,40000,1,0,1,0
86,25,15000,1,0,0,0
86,13,38000,1,0,1,0
86,13,197176,1,0,1,0
67,23,142000,2,1,0,2
88,92,78000,1,0,1,0
71,13,56000,2,0,1,0
80,6,47000,2,0,1,0
78,6,40000,2,0,1,0
71,18,62000,2,0,1,0
86,16,58242,1,0,1,0
86,13,75000,2,0,1,0
81,30,40000,1,0,0,0
71,22,89000,2,0,0,0
71,18,72000,2,0,1,0
86,25,29000,1,0,0,0
71,18,8700,2,0,1,0
71,18,45000,2,0,1,0
81,20,50024,1,0,1,0
49,1,3000,2,1,1,0
56,1,1400,2,1,1,0
42,1,4000,2,1,1,0
11,1,1200,2,1,1,0
46,1,4100,2,1,1,0
43,2,21700,2,1,1,0
40,3,16500,2,1,1,1
48,1,15000,2,1,1,0
48,1,18000,2,1,1,0
46,1,11000,2,1,1,0
42,1,6000,2,1,1,0
48,1,8700,2,1,1,0
41,2,7000,2,1,1,0
44,1,35000,2,1,1,0
46,1,17000,2,1,1,0
46,1,17500,2,1,1,0
46,1,33000,2,1,1,0
49,1,14000,2,1,1,0
46,1,26000,2,1,1,0
49,1,5400,2,1,1,0
17,1,5700,2,1,1,0
48,1,6900,2,1,1,0
45,1,6000,2,1,1,0
46,1,46500,2,1,1,0
47,1,11500,2,1,1,0
47,1,40000,2,1,1,0
6,0,1300,2,1,1,0
4,0,7000,2,1,1,0
32,0,3000,2,1,1,0
60,0,5000,2,1,1,0
32,0,11000,2,1,1,0
58,0,18000,2,1,1,0
6,0,3500,2,1,1,0
6,0,500,2,1,1,0
51,0,11800,2,1,1,0
14,0,5000,2,1,1,0
37,1,23500,2,1,1,0
20,0,16000,2,1,1,0
32,0,15000,2,1,1,0
7,0,16600,2,1,1,0
37,1,32000,2,1,1,0
5,0,20000,2,1,1,0
57,0,29000,2,1,1,0
57,0,25000,2,1,1,0
12,0,25000,2,1,1,0
51,0,19000,2,1,1,0
20,0,15000,2,1,1,0
60,0,58000,2,1,1,0
15,0,45000,2,1,1,0
15,0,24000,2,1,1,0
52,0,6000,2,1,1,0
26,0,31000,2,1,1,0
16,0,13000,2,1,1,0
16,0,45000,2,1,1,0
61,0,8000,2,1,1,0
31,0,4300,2,1,0,0
54,0,15000,2,1,1,0
60,0,23000,2,1,1,0
38,0,8600,2,1,1,0
31,0,4000,2,1,0,0
8,0,24000,2,1,1,0
52,0,23000,2,1,1,0
16,0,14500,2,1,1,0
7,0,27000,2,1,1,0
28,0,14000,2,1,1,0
1,0,500,2,1,0,0
25,0,1000,2,1,1,0
51,0,42000,2,1,1,0
34,0,12000,2,1,1,0
28,0,14000,2,1,1,0
59,0,5500,2,1,1,0
25,0,6700,2,1,1,0
13,0,13700,2,1,1,0
2,0,1300,2,1,0,0
35,0,38600,2,1,1,0
22,0,75000,2,1,1,0
39,1,30000,2,1,1,0
30,0,24000,2,1,0,0
53,0,19000,2,1,0,0
39,1,213000,2,1,1,0
23,0,60000,2,1,1,0
27,0,50000,2,1,1,0
33,0,30000,2,1,1,0
9,0,21000,2,1,1,0
14,0,26000,2,1,1,1
50,0,1900,2,1,0,0
55,0,22000,2,1,0,0
36,0,32000,2,1,1,0
21,0,18000,2,1,1,0
29,0,55000,2,1,1,0
14,0,60000,2,1,1,0
10,0,25000,2,1,1,1
24,0,49000,2,1,1,1
19,0,24000,2,1,1,1
18,0,50000,2,1,1,0
3,0,35000,2,1,1,0
1,0,500000,2,1,0,0
36,0,33000,2,1,1,0
10,0,35000,2,1,1,1
33,0,53000,2,1,1,0
14,0,92233,2,1,1,0
84,6,58000,1,0,1,1
82,5,28200,2,0,1,0
83,4,53460,2,0,1,0
75,4,28282,2,0,1,0
82,5,3493,2,0,1,1
97,7,12479,2,0,1,0
82,5,34797,2,0,0,0
84,8,3435,2,0,1,0
82,5,21125,1,0,1,0
83,4,35775,2,0,1,0
74,14,43535,1,0,1,0
72,13,22671,2,0,1,0
84,6,31604,2,0,1,0
82,5,20114,2,0,1,0
94,9,36100,2,0,1,0
75,4,12500,2,0,1,0
75,4,15000,2,0,1,0
94,9,45078,2,0,1,0
94,9,36000,2,0,1,0
75,4,38488,2,0,1,0
84,6,32000,2,0,0,0
84,7,77632,1,0,1,0
94,9,61381,1,0,1,0
94,9,36198,2,0,0,0
83,4,22517,2,0,1,0
82,5,24678,2,0,1,0
83,4,57000,2,0,1,0
