brand,model,year,mileage,fuel_type,transmission,engine_size,horsepower,price
Audi,Q5,2022,113694,Diesel,Automatic,1.5,294,4558000
Ford,EcoSport,2013,26023,Diesel,Manual,3.2,373,445000
BMW,X5,2021,95305,Diesel,Manual,1.9,138,4936000
Hyundai,Venue,2016,76803,Diesel,Manual,2.8,100,411000
Honda,Swift,2018,78148,Petrol,Manual,3.0,343,490000
Toyota,Innova,2011,29457,Petrol,Manual,2.7,270,657000
Honda,City,2023,109299,Diesel,Automatic,1.3,294,680000
Ford,EcoSport,2022,92798,Diesel,Manual,1.8,120,441000
Toyota,Camry,2016,12568,Diesel,Manual,1.0,218,962000
Ford,Endeavour,2012,139312,Diesel,Automatic,3.0,107,300000
Ford,Figo,2010,99135,Petrol,Automatic,3.0,251,300000
Hyundai,i20,2012,123252,Electric,Automatic,3.2,334,356000
Tata,Tiago,2024,132409,Petrol,Manual,3.7,320,300000
Maruti,Ertiga,2016,72623,Diesel,Automatic,3.6,249,396000
Tata,Nexon,2015,105259,Petrol,Manual,3.6,207,300000
Tata,Tiago,2023,33776,Petrol,Automatic,1.0,312,923000
Mercedes,GLC,2020,129101,Petrol,Manual,2.0,394,3562000
Ford,EcoSport,2013,61005,Electric,Automatic,1.8,192,660000
Ford,EcoSport,2020,36736,Electric,Manual,1.1,303,1339000
Hyundai,Creta,2011,60859,Petrol,Automatic,2.8,282,392000
Toyota,Civic,2017,116308,Diesel,Automatic,2.6,319,544000
Tata,Safari,2020,61663,Petrol,Automatic,3.0,425,643000
Hyundai,Venue,2016,149752,Diesel,Manual,3.8,208,300000
Tata,Nexon,2011,57254,Diesel,Automatic,1.7,223,386000
Tata,Safari,2021,121472,Petrol,Manual,3.7,116,330000
Audi,A4,2018,127858,Diesel,Automatic,3.6,133,4002000
Ford,Endeavour,2010,42711,Diesel,Automatic,2.7,191,366000
Hyundai,i20,2022,31357,Diesel,Automatic,3.0,248,1039000
Maruti,Swift,2023,101412,Petrol,Manual,3.2,274,334000
Toyota,Innova,2020,29830,Petrol,Automatic,3.9,130,1575000
Honda,CR-V,2023,107888,Diesel,Automatic,1.6,396,685000
Maruti,Brezza,2010,115983,Petrol,Automatic,3.9,85,300000
Tata,Nexon,2017,13420,Petrol,Automatic,3.9,195,820000
BMW,5 Series,2016,128015,Petrol,Manual,2.2,133,2914000
Ford,Figo,2017,82991,Diesel,Manual,1.8,352,436000
Tata,Tiago,2015,115510,Petrol,Automatic,3.4,92,300000
Audi,A4,2013,80316,Petrol,Manual,2.2,221,3746000
Audi,Q3,2021,42097,Petrol,Automatic,1.1,232,9180000
Mercedes,E-Class,2019,41024,Petrol,Automatic,2.1,180,10820000
BMW,5 Series,2021,124692,Petrol,Automatic,1.6,429,4799000
Audi,Q5,2013,104476,Electric,Automatic,1.1,199,4906000
Mahindra,XUV700,2019,100852,Petrol,Manual,2.3,208,375000
Toyota,Corolla,2023,15237,Diesel,Automatic,1.8,351,1898000
BMW,X1,2022,77215,Petrol,Manual,2.0,299,5531000
Toyota,Civic,2023,88781,Diesel,Automatic,1.3,420,898000
Toyota,Civic,2023,36646,Petrol,Automatic,3.7,259,1467000
Mahindra,XUV700,2019,19823,CNG,Automatic,1.5,359,1125000
Honda,Civic,2021,101007,Diesel,Automatic,3.0,242,696000
Toyota,Swift,2012,103610,CNG,Manual,3.9,409,300000
Honda,CR-V,2012,133633,Diesel,Manual,2.0,169,300000
Hyundai,i20,2016,13267,Diesel,Manual,3.8,296,859000
Tata,Safari,2019,48756,Diesel,Automatic,4.0,115,664000
Audi,Q5,2017,148429,Diesel,Manual,3.0,358,2435000
Tata,Harrier,2010,120448,Diesel,Automatic,2.0,266,300000
Maruti,Dzire,2022,69163,Electric,Automatic,2.7,446,736000
BMW,3 Series,2021,97508,Diesel,Automatic,3.4,188,7027000
Mahindra,XUV700,2023,136174,Petrol,Automatic,2.6,410,394000
Tata,Harrier,2019,11542,Petrol,Manual,2.2,362,851000
BMW,X5,2014,64693,Electric,Manual,2.1,224,8153000
Tata,Nexon,2013,29870,Petrol,Manual,3.1,281,499000
Audi,A6,2012,96188,Petrol,Automatic,1.2,396,3596000
Audi,A4,2012,90219,Electric,Manual,1.9,391,4493000
BMW,X1,2019,46395,Electric,Automatic,2.0,159,15064000
BMW,5 Series,2012,23843,Petrol,Manual,1.7,222,5641000
BMW,X1,2015,148186,Petrol,Automatic,3.7,235,2494000
Mahindra,XUV300,2013,71529,Petrol,Manual,1.8,436,424000
Mercedes,S-Class,2010,88752,Petrol,Automatic,1.8,125,2910000
Mercedes,E-Class,2012,59407,Diesel,Automatic,1.2,365,6065000
BMW,3 Series,2017,71813,Diesel,Automatic,1.5,420,6919000
Tata,Harrier,2020,82474,Diesel,Manual,1.1,390,461000
Toyota,Swift,2024,90642,Diesel,Automatic,3.8,162,858000
Tata,Harrier,2010,55106,Petrol,Manual,3.6,367,300000
Ford,Endeavour,2019,71877,Diesel,Automatic,3.6,133,708000
Tata,Nexon,2024,25254,Diesel,Automatic,3.1,182,994000
Honda,City,2011,148013,Diesel,Manual,3.2,328,300000
Ford,Endeavour,2021,80390,Diesel,Automatic,3.4,217,715000
Mahindra,Scorpio,2021,65123,Petrol,Automatic,2.5,284,753000
Hyundai,Verna,2018,147162,Petrol,Automatic,1.5,263,300000
Hyundai,Verna,2022,125359,Petrol,Manual,1.1,84,342000
Mahindra,Scorpio,2015,89252,Diesel,Automatic,2.1,125,435000
Mahindra,Scorpio,2020,33624,Petrol,Automatic,3.1,135,1195000
Toyota,Corolla,2013,137600,Diesel,Automatic,2.6,135,301000
Mahindra,XUV300,2016,77661,Petrol,Automatic,1.1,391,486000
Hyundai,Verna,2016,94717,Diesel,Manual,3.6,373,352000
Tata,Tiago,2014,11062,Petrol,Manual,2.0,379,535000
Maruti,Swift,2013,17561,Diesel,Automatic,1.3,190,539000
Ford,EcoSport,2021,82274,Petrol,Manual,3.7,399,508000
Ford,Endeavour,2022,122581,Diesel,Manual,1.3,277,335000
Maruti,Brezza,2023,86125,Petrol,Automatic,1.2,322,397000
BMW,5 Series,2017,26389,Petrol,Automatic,3.6,213,11583000
Ford,Figo,2012,63441,Diesel,Automatic,1.8,379,376000
Mahindra,Thar,2013,101922,Petrol,Automatic,2.6,80,354000
Mercedes,C-Class,2023,30618,CNG,Manual,2.8,257,9776000
BMW,3 Series,2019,143291,Petrol,Automatic,1.3,398,3736000
Toyota,Camry,2020,103070,Petrol,Manual,2.0,384,599000
Honda,CR-V,2017,111834,CNG,Manual,1.2,375,347000
Ford,Endeavour,2018,68596,Petrol,Manual,1.5,84,446000
Mahindra,Thar,2013,24060,Diesel,Automatic,2.4,183,719000
Hyundai,i20,2015,112974,Diesel,Manual,3.7,388,304000
Hyundai,Verna,2012,51157,CNG,Automatic,2.0,94,468000
Toyota,Innova,2023,141994,Diesel,Manual,1.9,368,365000
Mercedes,E-Class,2019,112916,CNG,Manual,3.5,238,3432000
Ford,Endeavour,2022,30103,Petrol,Manual,3.2,209,751000
Hyundai,Verna,2013,134714,Diesel,Automatic,3.9,439,300000
Ford,Endeavour,2024,125033,CNG,Manual,2.8,289,327000
Ford,Endeavour,2021,47219,CNG,Automatic,1.1,206,672000
Mahindra,Scorpio,2015,144869,CNG,Manual,1.7,425,300000
Mercedes,S-Class,2018,110158,Petrol,Manual,2.8,388,3866000
Maruti,Swift,2014,107945,Petrol,Manual,2.6,154,300000
Audi,A6,2020,67761,CNG,Automatic,1.1,330,5707000
Ford,EcoSport,2016,29956,CNG,Manual,2.7,229,490000
Honda,CR-V,2010,80480,Electric,Manual,2.2,142,542000
Toyota,Camry,2022,102374,Petrol,Automatic,2.0,237,684000
Ford,Endeavour,2011,74077,Diesel,Automatic,2.6,192,327000
Mercedes,S-Class,2024,75155,Petrol,Automatic,3.8,367,9095000
Hyundai,Creta,2011,136944,Petrol,Manual,3.1,428,300000
Tata,Tiago,2012,40678,Diesel,Manual,1.3,318,373000
Hyundai,i20,2021,111358,Diesel,Automatic,4.0,367,545000
Maruti,Dzire,2014,137157,Petrol,Manual,3.7,86,300000
Toyota,Swift,2012,128865,CNG,Automatic,2.0,313,300000
Hyundai,Verna,2016,126243,Diesel,Manual,2.7,305,300000
Hyundai,Venue,2019,29063,Electric,Automatic,1.5,449,1383000
Tata,Safari,2011,109608,Petrol,Manual,3.5,83,300000
Honda,CR-V,2020,66133,CNG,Manual,2.7,113,621000
Tata,Harrier,2019,11622,Petrol,Manual,1.8,366,891000
Ford,Figo,2021,57924,Petrol,Automatic,2.3,269,798000
Honda,Swift,2015,31172,Diesel,Manual,2.2,375,737000
Maruti,Swift,2020,21046,Diesel,Automatic,2.2,231,870000
BMW,5 Series,2010,69129,Petrol,Manual,2.8,416,2972000
Honda,Civic,2019,142596,Petrol,Manual,2.2,140,335000
Mahindra,Scorpio,2016,34354,Diesel,Automatic,3.1,181,865000
Hyundai,i20,2021,79626,Electric,Automatic,3.1,382,948000
Ford,Endeavour,2017,21344,Diesel,Automatic,3.5,104,1026000
Mahindra,Scorpio,2022,47641,Diesel,Automatic,2.7,165,1161000
BMW,3 Series,2018,90559,Petrol,Manual,3.4,302,5028000
Audi,Q3,2011,76150,Petrol,Automatic,1.7,267,3621000
Hyundai,i20,2020,144055,Petrol,Manual,2.7,83,300000
Tata,Nexon,2011,123824,CNG,Automatic,1.7,390,300000
Honda,Accord,2016,37788,Petrol,Automatic,1.2,381,900000
Toyota,Swift,2023,83972,Petrol,Automatic,1.8,345,833000
Audi,Q5,2014,42733,Petrol,Automatic,1.9,403,7041000
BMW,X5,2010,145566,Petrol,Automatic,1.7,372,1880000
Mercedes,S-Class,2017,138301,Diesel,Automatic,4.0,278,4144000
Ford,EcoSport,2024,51844,Diesel,Manual,1.1,392,710000
Toyota,Corolla,2012,128533,Diesel,Automatic,1.6,88,343000
Mahindra,Scorpio,2022,17657,Diesel,Automatic,4.0,82,1525000
Mercedes,C-Class,2017,43660,Diesel,Automatic,2.7,177,9186000
Ford,Endeavour,2020,75160,Petrol,Automatic,1.1,119,716000
Honda,Swift,2024,79669,Petrol,Automatic,2.5,116,870000
BMW,X5,2010,135991,CNG,Automatic,3.7,402,1546000
Honda,Accord,2022,109616,CNG,Automatic,3.0,432,490000
Tata,Nexon,2020,107624,CNG,Manual,3.1,267,300000
Mahindra,Scorpio,2012,57638,Petrol,Automatic,1.7,118,439000
Maruti,Baleno,2023,102124,Petrol,Manual,1.3,234,362000
Toyota,Corolla,2021,41575,Diesel,Manual,1.9,153,1034000
Honda,Swift,2021,101357,Diesel,Automatic,1.5,321,754000
Toyota,Innova,2015,73888,Diesel,Manual,2.9,289,594000
Maruti,Brezza,2012,110732,Petrol,Manual,3.5,446,300000
Hyundai,Verna,2019,21745,Petrol,Automatic,2.3,118,1094000
Maruti,Baleno,2024,88797,Petrol,Manual,3.6,315,325000
BMW,3 Series,2014,58901,Diesel,Manual,1.9,137,5323000
Honda,CR-V,2012,36431,CNG,Automatic,2.7,287,603000
